"","domain","visits","pageviews","users","pageviews_per_session","avg_session_duration","exits","url","category","scraper_url","status","n_errors","n_lp","n_pp","error_bin"
"1","irs.gov",64193161,177112152,31452667,2.759050174,164.9079401,60853428,"http://irs.gov","Money and Business","https://www.irs.gov/about-irs","FAIL",57,"17","486","50-59 errors"
"2","medlineplus.gov",38151284,52078968,28206768,1.36506462,80.50021247,38123516,"http://medlineplus.gov","Health","https://medlineplus.gov/aboutmedlineplus.html","FAIL",11,"12","227","10-19 errors"
"3","cdc.gov",23487288,46254542,16803034,1.969343672,118.1451687,23437498,"http://cdc.gov","Health","https://www.cdc.gov/about/advisory.htm","FAIL",37,"31","736","30-39 errors"
"4","forecast.weather.gov",50487615,83708771,11644065,1.658006048,114.6498519,52175674,"http://weather.gov","Home, Community, and Work","https://www.weather.gov/about/","PASS",0,"0","0","0-10 errors"
"5","ssa.gov",16757074,47686950,9704185,2.845780236,231.9820584,16909315,"http://ssa.gov","Benefits","https://www.ssa.gov/agency/","FAIL",7,"1","41","0-10 errors"
"6","nps.gov",14341321,43625267,9249376,3.041928076,223.4764284,14310681,"http://nps.gov","Home, Community, and Work","https://www.nps.gov/aboutus/index.htm","FAIL",22,"26","381","20-29 errors"
"7","travel.state.gov",13945876,39494645,8441253,2.831994562,187.7272283,13889384,"http://state.gov","Travel and Transportation","https://www.state.gov/aboutstate/","FAIL",4,"25","420","0-10 errors"
"8","nasa.gov",8584877,17335399,6361579,2.019294977,129.8796507,8444125,"http://nasa.gov","Travel and Transportation","https://history.nasa.gov/","FAIL",2,"8","31","0-10 errors"
"9","uscis.gov",13888427,31844281,6332855,2.292864484,190.9096155,13082218,"http://uscis.gov","Law Enforcement and Justice","https://www.uscis.gov/aboutus","FAIL",26,"17","567","20-29 errors"
"10","usajobs.gov",14605589,164201325,5956560,11.24236243,455.6041587,14241742,"http://usajobs.gov","Home, Community, and Work","https://www.usajobs.gov/Help/About/","FAIL",9,"12","308","0-10 errors"
"11","fda.gov",5834001,11934185,4205307,2.045626149,146.2844254,5480686,"http://fda.gov","Consumer Safety","https://www.fda.gov/AboutFDA/WhatWeDo/default.htm","PASS",0,"0","0","0-10 errors"
"12","va.gov",5195354,12003124,3601129,2.310357292,201.2196682,4887999,"http://va.gov","Military and Veterans","https://www.va.gov/landing2_about.htm","FAIL",14,"30","605","10-19 errors"
"13","cancer.gov",4211051,6493713,3451760,1.542064677,91.6580362,4209136,"http://cancer.gov","Health","https://www.cancer.gov/about-nci/overview","FAIL",11,"17","1038","10-19 errors"
"14","epa.gov",4129665,9748230,2980674,2.360537719,170.7885298,4020510,"http://epa.gov","Home, Community, and Work","https://www.epa.gov/aboutepa/our-mission-and-what-we-do","PASS",0,"0","0","0-10 errors"
"15","tsa.gov",3689218,8400081,2874392,2.276927251,130.1562458,3688261,"http://tsa.gov","Travel and Transportation","https://www.tsa.gov/about/tsa-mission","PASS",0,"0","0","0-10 errors"
"16","usa.gov",3316754,5539093,2816943,1.670034317,113.2927109,3316754,"http://usa.gov","Government Officials","https://www.usa.gov/history-of-website","FAIL",5,"18","341","0-10 errors"
"17","opm.gov",4483937,11553103,2746088,2.576553373,166.4507713,4476277,"http://opm.gov","Benefits","https://www.opm.gov/about-us/","FAIL",34,"38","921","30-39 errors"
"18","bls.gov",4786504,14196739,2711618,2.965993343,164.5137154,4829592,"http://bls.gov","Money and Business","https://www.bls.gov/bls/infohome.htm","FAIL",13,"10","1030","10-19 errors"
"19","studentaid.ed.gov",3337818,6466903,2591932,1.937464236,145.105583,3336861,"http://ed.gov","Children and Education","https://www2.ed.gov/about/overview/mission/mission.html","FAIL",8,"17","327","0-10 errors"
