"","X.1","X","domain","visits","pageviews","users","pageviews_per_session","avg_session_duration","exits","url","category","scraper_url","status","n_errors","n_lp","n_pp","error_bin","clean_150","Flesch_Kincaid","Gunning_Fog_Index","Coleman_Liau","SMOG","Automated_Readability_Index","Average_Grade_Level","adj_gl"
"1",1,1,"irs.gov",64193161,177112152,31452667,2.759050174,164.9079401,60853428,"http://irs.gov","Money and Business","https://www.irs.gov/about-irs","FAIL",57,17,486,"50-59 errors"," Meet the Commissioner of Internal Revenue The Internal Revenue Service is the nation's tax collection agency and administers the Internal Revenue Code enacted by Congress. The history of IRS reflects many of the events that shaped our nation. Our organizational structure closely resembles the private sector model of organizing around customers with similar needs. The IRS has a strong and steadfast commitment to ensuring equity, diversity and inclusion are integrated into the policies, procedures and practices used to carry our mission. In support of the overall IRS Mission, Criminal Investigation serves the American public by investigating potential criminal violations of the Internal Revenue Code and related financial crimes in a manner that fosters confidence in the tax system and compliance with the law. Find Budget Documents, the Priority Guidance Plan and other guidelines and policies. The IRS is committed to Open Government Want to do business with IRS? Take",13.6174412751678,18.9936241610738,14.8915436241611,16.3735573784659,13,15.3752332877737,9
"2",2,2,"medlineplus.gov",38151284,52078968,28206768,1.36506462,80.50021247,38123516,"http://medlineplus.gov","Health","https://medlineplus.gov/aboutmedlineplus.html","FAIL",11,12,227,"10-19 errors"," MedlinePlus is the National Institutes of Health's Web site for patients and their families and friends. Produced by the National Library of Medicine, the world’s largest medical library, it brings you information about diseases, conditions, and wellness issues in language you can understand. MedlinePlus offers reliable, up to date health information, anytime, anywhere, for free. You can use MedlinePlus to learn about the latest treatments, look up information on a drug or supplement, find out the meanings of words, or view medical videos or illustrations. You can also get links to the latest medical research on your topic or find out about clinical trials on a disease or condition. Health professionals and consumers alike can depend on it for information that is authoritative and up to date. MedlinePlus has extensive information from the National Institutes of Health and other trusted sources on over 1000 diseases and conditions. There are",12.2041891891892,17.6702702702703,13.8275675675676,15.5797418509248,12,14.2563537755904,8
"3",3,3,"cdc.gov",23487288,46254542,16803034,1.969343672,118.1451687,23437498,"http://cdc.gov","Health","https://www.cdc.gov/about/advisory.htm","FAIL",37,31,736,"30-39 errors"," To receive email updates about this page, enter your email address: Past Emails Federal advisory committees are a key component of CDC’s overall strategy to achieve stakeholder and public engagement in its efforts and commitment to improve people’s health. The Federal Advisory Committee Act Public Law 92 463 provides a mechanism for experts and stakeholders to participate in the decision making process, offering advice and recommendations to the Federal government as members of advisory committees. The important contribution made by Federal advisory committees is overseen at the highest levels of government: the Congress, the President of the United States and the General Services Administrator through authority delegated by the President . At the CDC, advisory committee activity is overseen by the Management Analysis and Services Office. Currently, twenty four federal advisory committees provide advice and recommendations on a broad range of public health issues to help the agency achieve",19.2496438356164,25.3786301369863,17.1372602739726,21.1943899229434,20,20.5919848339037,11
"4",4,4,"forecast.weather.gov",50487615,83708771,11644065,1.658006048,114.6498519,52175674,"http://weather.gov","Home, Community, and Work","https://www.weather.gov/about/","PASS",0,0,0,"0-10 errors"," r NWS r All NOAA r About the NWS National Program Provide weather, water, and climate data, forecasts and warnings for the protection of life and property and enhancement of the national economy. A Weather Ready Nation: Society is prepared for and responds to weather dependent events. Accurate weather forecasts do not always result in a good outcome. The National Weather Service NWS learned this difficult...Read more NWS has played a key role in protecting American lives and properties for over a century. The timely provision of reliable weather, water, climate, and environmental information has supported the Nation's social and economic development. NWS offices in communities across the United States and its territories, supported by regional and national centers, provide the authoritative information needed by Americans, including national, regional, state, tribal, and local authorities, to plan, prepare, mitigate, and respond to natural and human caused events...Read more NWS provides",13.1857533112583,17.3513245033113,14.7186754966887,15.4148254059335,13,14.7341157434384,8
"5",5,5,"ssa.gov",16757074,47686950,9704185,2.845780236,231.9820584,16909315,"http://ssa.gov","Benefits","https://www.ssa.gov/agency/","FAIL",7,1,41,"0-10 errors"," Social Security has provided financial protection for our nation's people for over 80 years. Chances are, you either receive Social Security benefits or know someone who does. With retirement, disability, and survivors benefits, Social Security is one of the most successful anti poverty programs in our nation's history. We are passionate about supporting our customers by delivering financial support, providing superior customer service, and ensuring the safety and security of your information helping you secure today and tomorrow. Social Security is committed to helping maintain the basic well being and protection of the people we serve. We pay benefits to over 60 million people including retirees, children, widows, and widowers. From birth, to marriage, and into retirement, we are there to provide support throughout life's journey. Learn More One of our priorities is getting you secure access to the information you need when, where, and how you need it.",13.0199914965986,17.1459183673469,14.3891156462585,15.247664890283,13,14.5605380800974,8
"6",6,6,"nps.gov",14341321,43625267,9249376,3.041928076,223.4764284,14310681,"http://nps.gov","Home, Community, and Work","https://www.nps.gov/aboutus/index.htm","FAIL",22,26,381,"20-29 errors"," Since 1916, the National Park Service has been entrusted with the care of our national parks. With the help of volunteers and partners, we safeguard these special places and share their stories with more than 275 million visitors every year. But our work doesn't stop there. We are proud that tribes, local governments, nonprofit organizations, businesses, and individual citizens ask for our help in revitalizing their communities, preserving local history, celebrating local heritage, and creating close to home opportunities for kids and families to get outside, be active, and have fun. Taking care of the national parks and helping Americans take care of their communities is a job we love, and we need and welcome your help and support. The National Park Service preserves unimpaired the natural and cultural resources and values of the National Park System for the enjoyment, education, and inspiration of this and future generations. The",12.3580272108843,17.1074829931973,13.8304761904762,15.3434653130238,13,14.3278903415163,8
"7",7,7,"travel.state.gov",13945876,39494645,8441253,2.831994562,187.7272283,13889384,"http://state.gov","Travel and Transportation","https://www.state.gov/aboutstate/","FAIL",4,25,420,"0-10 errors"," tOn behalf of the American people we promote and demonstrate democratic values and advance a free, peaceful, and prosperous world. tThe U.S. Department of State leads America’s foreign policy through diplomacy, advocacy, and assistance by advancing the interests of the American people, their safety and economic prosperity. tThere shall be at the seat of government an executive department to be known as the Department of State, and a Secretary of State, who shall be the head thereof. Mor The Office of Website Management, Bureau of Public Affairs, manages this site as a portal for information from the U.S. State Department.External links to other Internet sites should not be construed as an endorsement of the views or privacy policies contained therein.Note: documents in Portable Document Format PDF require Adobe Acrobat Reader 5.0 or higher to view, download Adobe Acrobat Reader. Video Twitter Facebook MoreFlickrYouTubeInstagramGoogle+TumblrDipNote BlogRSSSubscribe Flickr YouTube Instagram Google+ Tumblr",13.5382466442953,18.456711409396,15.9570469798658,16.0618794286456,14,15.6027768924405,9
"8",8,8,"nasa.gov",8584877,17335399,6361579,2.019294977,129.8796507,8444125,"http://nasa.gov","Travel and Transportation","https://history.nasa.gov/","FAIL",2,8,31,"0-10 errors"," Since its inception in 1958, NASA has accomplished many r great scientific and technological feats in air and space. r NASA technology also has been adapted for many nonaerospace r uses by the private sector. NASA remains a leading force in r scientific research and in stimulating public interest in r aerospace exploration, as well as science and technology in r general. Perhaps more importantly, our exploration of space r has taught us to view Earth, ourselves, and the universe in a r new way. While the tremendous technical and scientific r accomplishments of NASA demonstrate vividly that humans can r achieve previously inconceivable feats, we also are humbled by r the realization that Earth is just a tiny blue marble in the r cosmos. Check out our Thinking r About NASA History folder online as an introduction to r how history can help you. HISTORY AT NASA HEADQUARTERS:An",12.9957142857143,16.565250965251,11.5643243243243,14.9556083604587,12,13.6161795871497,7
"9",9,9,"uscis.gov",13888427,31844281,6332855,2.292864484,190.9096155,13082218,"http://uscis.gov","Law Enforcement and Justice","https://www.uscis.gov/aboutus","FAIL",26,17,567,"20-29 errors"," Skip to main content U.S. Citizenship and Immigration Services administers the nation’s lawful immigration system, safeguarding its integrity and promise by efficiently and fairly adjudicating requests for immigration benefits while protecting Americans, securing the homeland, and honoring our values. USCIS is the government agency that oversees lawful immigration to the United States. We are 19,000 government employees and contractors working at more than 200 offices across the world. See how much we accomplish on a typical day. We will always strive for the highest level of integrity in our dealings with the public, our fellow employees, and the citizens of the United States of America. We review each case before us on its own merit and reach decisions that are based on the law and facts. We will be ever mindful of the importance of the trust the American people have placed in us to administer the nation’s immigration",12.1369982993197,16.8738095238095,13.3491156462585,15.0781661245974,12,13.887617918797,7
"10",10,10,"usajobs.gov",14605589,164201325,5956560,11.24236243,455.6041587,14241742,"http://usajobs.gov","Home, Community, and Work","https://www.usajobs.gov/Help/About/","FAIL",9,12,308,"0-10 errors"," An official website of the United States government r A new way to sign in. Create a login.gov account to sign into USAJOBS. Learn more r USAJOBS connects job seekers with federal employment opportunities across the United States and around the world. As the Federal Government’s official employment site, USAJOBS provides resources to help the right people find the right jobs. As a part of the U.S. Office of Personnel Management OPM , USAJOBS helps recruit, retain, and honor a world class government workforce for the American people. Federal agencies use USAJOBS to facilitate their hiring processes and match qualified applicants to job openings. Therefore, USAJOBS serves as the central location to find job openings within hundreds of federal agencies and organizations. The U.S. Federal Government relies on more than two million Americans and foreign nationals to work in the civil service. Citizens like you help the government fulfill",9.95864864864865,16.0144144144144,12.7494594594595,13.6886701853816,9,12.2822385415808,6
